Suburb,Address,Bedroom,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
Abbotsford,68 Studley St,2,h,1026500.0,SS,Jellis,03-09-2016,2.5,3067,2,1,1,126.0,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,03-12-2016,2.5,3067,2,1,1,202.0,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,04-02-2016,2.5,3067,2,1,0,156.0,79.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,18/659 Victoria St,3,u,1026500.0,VB,Rounds,04-02-2016,2.5,3067,3,2,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,04-03-2017,2.5,3067,3,2,0,134.0,150.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,04-03-2017,2.5,3067,3,2,1,94.0,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,04-06-2016,2.5,3067,3,1,2,120.0,142.0,2014,Yarra,Northern Metropolitan,4019
Abbotsford,16 Maugie St,4,h,1026500.0,SN,Nelson,06-08-2016,2.5,3067,3,2,2,400.0,220.0,2006,Yarra,Northern Metropolitan,4019
Abbotsford,53 Turner St,2,h,1026500.0,S,Biggin,06-08-2016,2.5,3067,4,1,2,201.0,98.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,99 Turner St,2,h,1026500.0,S,Collins,06-08-2016,2.5,3067,3,2,1,202.0,98.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,07-05-2016,2.5,3067,2,1,0,181.0,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,07-05-2016,2.5,3067,4,2,0,245.0,210.0,1910,Yarra,Northern Metropolitan,4019
Abbotsford,121/56 Nicholson St,2,u,1026500.0,PI,Biggin,07-11-2016,2.5,3067,2,2,1,4292.0,82.0,2009,Yarra,Northern Metropolitan,4019
